Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    1.1438669586e+02,    2.4401306152e+01,
    1.1488616943e+02,    2.3637531281e+01,
    1.1538555145e+02,    2.3202880859e+01,
    1.1588490295e+02,    2.2868053436e+01,
    1.1638425446e+02,    2.3343618393e+01,
    1.1688361359e+02,    2.4067687988e+01,
    1.1738322449e+02,    2.4142179489e+01,
    1.1788291931e+02,    2.4010776520e+01,
    1.1838249207e+02,    2.2779064178e+01,
    1.1888204193e+02,    2.1198665619e+01,
    1.1938154602e+02,    2.1084592819e+01,
    1.1988103485e+02,    2.1450563431e+01,
    1.2038046265e+02,    2.2000162125e+01,
    1.2087985992e+02,    2.2608579636e+01,
    1.2137944794e+02,    2.2478591919e+01,
    1.2187909698e+02,    2.2104330063e+01,
    1.2237864685e+02,    2.2342580795e+01,
    1.2287815857e+02,    2.2787794113e+01,
    1.2337764740e+02,    2.2804742813e+01,
    1.2387713623e+02,    2.2675458908e+01,
    1.2437644196e+02,    2.2256683350e+01,
    1.2487570190e+02,    2.1743202209e+01,
    1.2537513733e+02,    2.2377920151e+01,
    1.2587461853e+02,    2.3408727646e+01,
    1.2637405396e+02,    2.3609489441e+01,
    1.2687347412e+02,    2.3523942947e+01,
    1.2737326050e+02,    2.3722047806e+01,
    1.2787316895e+02,    2.4016960144e+01,
    1.2837248230e+02,    2.3874685287e+01,
    1.2887159729e+02,    2.3575246811e+01,
    1.2937109375e+02,    2.3762414932e+01,
    1.2987074280e+02,    2.4126304626e+01,
    1.3037023926e+02,    2.4575845718e+01,
    1.3086968994e+02,    2.5056484222e+01,
    1.3136944580e+02,    2.5070661545e+01,
    1.3186930847e+02,    2.4913740158e+01,
    1.3236878967e+02,    2.4899620056e+01,
    1.3286814880e+02,    2.4937873840e+01,
    1.3336770630e+02,    2.4190860748e+01,
    1.3386734009e+02,    2.3158803940e+01,
    1.3436665344e+02,    2.2818328857e+01,
    1.3486584473e+02,    2.2736631393e+01,
    1.3536518860e+02,    2.3159830093e+01,
    1.3586457825e+02,    2.3768135071e+01,
    1.3636405945e+02,    2.3525323868e+01,
    1.3686358643e+02,    2.2957653046e+01,
    1.3736314392e+02,    2.3210821152e+01,
    1.3786273193e+02,    2.3783580780e+01,
    1.3836242676e+02,    2.3620815277e+01,
    1.3886216736e+02,    2.3171730042e+01,
    1.3936154175e+02,    2.3414224625e+01,
    1.3986077881e+02,    2.3928590775e+01,
    1.4036033630e+02,    2.3614465714e+01,
    1.4086000061e+02,    2.2968229294e+01,
    1.4135954285e+02,    2.2029489517e+01,
    1.4185906982e+02,    2.0974655151e+01,
    1.4235841370e+02,    2.0934114456e+01,
    1.4285768127e+02,    2.1292161942e+01,
    1.4335716248e+02,    2.0714241028e+01,
    1.4385670471e+02,    1.9746368408e+01,
    1.4435649109e+02,    1.9553544998e+01,
    1.4485638428e+02,    1.9674325943e+01,
    1.4535588074e+02,    2.0142364502e+01,
    1.4585519409e+02,    2.0753662109e+01,
    1.4635449219e+02,    2.1608224869e+01,
    1.4685375977e+02,    2.2567060471e+01,
    1.4735324097e+02,    2.2685829163e+01,
    1.4785282898e+02,    2.2444536209e+01,
    1.4835235596e+02,    2.2005956650e+01,
    1.4885188293e+02,    2.1483631134e+01,
    1.4935136414e+02,    2.1267129898e+01,
    1.4985083008e+02,    2.1182928085e+01,
    1.5035038757e+02,    2.0986867905e+01,
    1.5084996033e+02,    2.0741035461e+01,
    1.5134939575e+02,    2.0507743835e+01,
    1.5184877014e+02,    2.0279926300e+01,
    1.5234841919e+02,    2.0101675034e+01,
    1.5284819031e+02,    1.9945266724e+01,
    1.5334774780e+02,    1.9770414352e+01,
    1.5384721375e+02,    1.9587511063e+01,
    1.5434655762e+02,    2.0350967407e+01,
    1.5484585571e+02,    2.1547313690e+01,
    1.5534547424e+02,    2.1691791534e+01,
    1.5584521484e+02,    2.1359621048e+01,
    1.5634489441e+02,    2.0906181335e+01,
    1.5684455872e+02,    2.0396762848e+01,
    1.5734391785e+02,    2.0064603806e+01,
    1.5784313965e+02,    1.9814256668e+01,
    1.5834266663e+02,    1.9778461456e+01,
    1.5884233093e+02,    1.9842599869e+01,
    1.5934199524e+02,    1.9971969604e+01,
    1.5984165955e+02,    2.0132566452e+01,
    1.6034112549e+02,    1.9961492538e+01,
